programa_slug,programa_nombre,anio,mes,fecha_desembolso,zona,provincia,beneficiarios,monto_ejecutado_musd,es_dato_real,nota
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 1,Imbabura,0,24.955733,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 7,Loja,0,28.536606,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 5,Los Ríos,0,79.881485,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 4,Manabí,0,122.046783,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 6,Morona Santiago,0,8.249386,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 2,Napo,0,4.767536,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 2,Orellana,0,7.453404,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 3,Pastaza,0,2.826167,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 2,Pichincha,0,44.034167,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 5,Santa Elena,0,30.386085,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 4,Santo Domingo de los Tsáchilas,0,25.613756,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 1,Sucumbíos,0,9.76985,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 3,Tungurahua,0,23.757108,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 7,Zamora Chinchipe,0,4.024275,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,No especificada,Zona en estudio,0,0.045464,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 6,Azuay,21289,7.9555,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 5,Bolívar,13494,5.0426,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 6,Cañar,10622,3.9694,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 1,Carchi,8765,3.2754,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 3,Chimborazo,24184,9.0374,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 3,Cotopaxi,24114,9.0112,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 7,El Oro,18170,6.79,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 1,Esmeraldas,26876,10.0434,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 5,Galápagos,31,0.0116,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 5,Guayas,116183,43.4167,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 1,Imbabura,18848,7.0434,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 7,Loja,20055,7.4944,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 5,Los Ríos,51795,19.3554,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 4,Manabí,84121,31.4354,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 6,Morona Santiago,8356,3.1226,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 2,Napo,6614,2.4716,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 2,Orellana,5943,2.2209,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 3,Pastaza,2883,1.0774,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 2,Pichincha,30810,11.5135,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 5,Santa Elena,20481,7.6536,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 4,Santo Domingo de los Tsáchilas,18067,6.7515,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 1,Sucumbíos,7059,2.6379,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 3,Tungurahua,19104,7.139,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,Zona 7,Zamora Chinchipe,3483,1.3016,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdh,Bono de Desarrollo Humano (BDH),2026,07,2026-07-31,No especificada,Zona en estudio,89,0.0333,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 6,Azuay,0,17.617103,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 5,Bolívar,0,18.297756,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 6,Cañar,0,8.040476,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 1,Carchi,0,7.735797,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 3,Chimborazo,0,32.506969,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 3,Cotopaxi,0,28.493946,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 7,El Oro,0,11.137962,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 1,Esmeraldas,0,51.961483,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 5,Galápagos,0,0.012455,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 5,Guayas,0,76.278652,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 1,Imbabura,0,23.502977,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 7,Loja,0,22.921512,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 5,Los Ríos,0,40.66627,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 4,Manabí,0,70.93541,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 6,Morona Santiago,0,30.913059,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 2,Napo,0,16.627715,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 2,Orellana,0,15.054992,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 3,Pastaza,0,10.047605,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 2,Pichincha,0,26.614192,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 5,Santa Elena,0,19.487265,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 4,Santo Domingo de los Tsáchilas,0,16.217673,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 1,Sucumbíos,0,12.831593,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 3,Tungurahua,0,15.286799,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,Zona 7,Zamora Chinchipe,0,6.386705,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2025,12,,No especificada,Zona en estudio,0,0.035956,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 6,Azuay,10586,4.5146,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 5,Bolívar,8782,3.7453,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 6,Cañar,4417,1.8837,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 1,Carchi,3892,1.6598,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 3,Chimborazo,14563,6.2107,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 3,Cotopaxi,14582,6.2188,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 7,El Oro,9001,3.8387,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 1,Esmeraldas,43063,18.3651,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 5,Galápagos,162,0.0691,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 5,Guayas,78400,33.4354,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 1,Imbabura,14478,6.1745,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 7,Loja,15261,6.5084,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 5,Los Ríos,30752,13.1149,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 4,Manabí,52579,22.4234,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 6,Morona Santiago,14978,6.3877,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 2,Napo,6559,2.7972,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 2,Orellana,9138,3.8971,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 3,Pastaza,5625,2.3989,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 2,Pichincha,28170,12.0137,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
bdhv,Bono de Desarrollo Humano con Componente Variable (BDHV),2026,07,2026-07-31,Zona 5,Santa Elena,13965,5.9557,TRUE,"Dato real: Acumulado_VIS-VIE_periodo_gobierno.xlsx, hoja 'provincial', julio 2026."
